,entity,code,year,youth_literacy_rate__population_15_24_years__male__pct__lr_ag15t24_m,youth_literacy_rate__population_15_24_years__female__pct__lr_ag15t24_f,owid_region
423,East Asia and Pacific (WB),WB_EAP,2003,98.19,97.7,
424,East Asia and Pacific (WB),WB_EAP,2004,98.28,97.83,
425,East Asia and Pacific (WB),WB_EAP,2005,98.33,97.96,
426,East Asia and Pacific (WB),WB_EAP,2006,98.16,97.79,
427,East Asia and Pacific (WB),WB_EAP,2007,98.5,98.19,
428,East Asia and Pacific (WB),WB_EAP,2008,98.8,98.61,
429,East Asia and Pacific (WB),WB_EAP,2009,98.74,98.6,
430,East Asia and Pacific (WB),WB_EAP,2010,98.56,98.37,
431,East Asia and Pacific (WB),WB_EAP,2011,98.62,98.44,
432,East Asia and Pacific (WB),WB_EAP,2012,98.64,98.49,
433,East Asia and Pacific (WB),WB_EAP,2013,98.65,98.62,
434,East Asia and Pacific (WB),WB_EAP,2014,98.84,98.89,
435,East Asia and Pacific (WB),WB_EAP,2015,98.92,98.91,
436,East Asia and Pacific (WB),WB_EAP,2016,98.94,98.95,
437,East Asia and Pacific (WB),WB_EAP,2017,98.93,98.97,
438,East Asia and Pacific (WB),WB_EAP,2018,98.81,98.92,
439,East Asia and Pacific (WB),WB_EAP,2019,98.84,98.95,
440,East Asia and Pacific (WB),WB_EAP,2020,98.94,99.02,
441,East Asia and Pacific (WB),WB_EAP,2021,98.96,99.06,
442,East Asia and Pacific (WB),WB_EAP,2022,98.99,99.11,
443,East Asia and Pacific (WB),WB_EAP,2023,99.01,99.14,
444,East Asia and Pacific (WB),WB_EAP,2024,99.03,99.18,
445,East Timor,TLS,2009,87.25,83.71,Asia
446,East Timor,TLS,2010,80.49,78.57,Asia
447,East Timor,TLS,2015,84.68,84.07,Asia
448,East Timor,TLS,2016,89.55,88.73,Asia
449,East Timor,TLS,2022,86.39,85.87,Asia
450,Eastern and South-Eastern Asia (SDG),,1976,92.19,75.7,
451,Eastern and South-Eastern Asia (SDG),,1977,92.24,76.0,
452,Eastern and South-Eastern Asia (SDG),,1978,92.79,77.82,
453,Eastern and South-Eastern Asia (SDG),,1979,93.31,79.69,
454,Eastern and South-Eastern Asia (SDG),,1980,93.74,81.52,
455,Eastern and South-Eastern Asia (SDG),,1981,94.1,83.12,
456,Eastern and South-Eastern Asia (SDG),,1982,94.35,84.42,
457,Eastern and South-Eastern Asia (SDG),,1983,94.62,85.64,
458,Eastern and South-Eastern Asia (SDG),,1984,94.88,86.68,
459,Eastern and South-Eastern Asia (SDG),,1985,95.09,87.5,
460,Eastern and South-Eastern Asia (SDG),,1986,95.25,88.17,
461,Eastern and South-Eastern Asia (SDG),,1987,96.1,89.49,
462,Eastern and South-Eastern Asia (SDG),,1988,96.53,91.5,
463,Eastern and South-Eastern Asia (SDG),,1989,96.52,91.85,
464,Eastern and South-Eastern Asia (SDG),,1990,96.52,92.16,
