,entity,code,year,adult_literacy_rate,youth_literacy_rate_male,youth_literacy_rate_female,owid_region
367,East Asia and Pacific (WB),WB_EAP,2022,96.36,98.99,99.11,unknown
368,East Asia and Pacific (WB),WB_EAP,2023,96.49,99.01,99.14,unknown
370,East Timor,TLS,2010,58.31,80.49,78.57,Asia
371,East Timor,TLS,2015,64.45,84.68,84.07,Asia
372,East Timor,TLS,2016,65.78,89.55,88.73,Asia
373,East Timor,TLS,2022,69.4,86.39,85.87,Asia
424,Ecuador,ECU,1990,88.3,96.58,95.83,South America
425,Ecuador,ECU,2001,90.98,96.38,96.49,South America
426,Ecuador,ECU,2007,92.1,98.23,98.56,South America
427,Ecuador,ECU,2008,92.39,98.43,98.48,South America
428,Ecuador,ECU,2009,92.25,98.72,98.88,South America
429,Ecuador,ECU,2010,91.85,98.47,98.85,South America
430,Ecuador,ECU,2011,91.59,98.59,98.81,South America
431,Ecuador,ECU,2012,92.06,98.77,98.89,South America
432,Ecuador,ECU,2013,93.29,98.58,98.63,South America
433,Ecuador,ECU,2014,94.22,99.01,99.19,South America
434,Ecuador,ECU,2015,94.46,99.34,98.91,South America
435,Ecuador,ECU,2016,94.35,98.98,99.14,South America
436,Ecuador,ECU,2017,92.83,99.11,99.4,South America
437,Ecuador,ECU,2020,93.63,98.5,99.09,South America
438,Ecuador,ECU,2021,94.48,98.56,99.49,South America
439,Ecuador,ECU,2022,96.26,99.57,99.68,South America
443,Egypt,EGY,1996,55.59,78.99,66.93,Africa
444,Egypt,EGY,2005,67.33,90.08,78.78,Africa
445,Egypt,EGY,2006,66.37,87.86,81.75,Africa
446,Egypt,EGY,2010,72.05,90.56,84.31,Africa
447,Egypt,EGY,2012,73.87,92.36,86.05,Africa
448,Egypt,EGY,2013,72.44,93.65,90.33,Africa
449,Egypt,EGY,2017,71.17,89.48,86.81,Africa
450,Egypt,EGY,2021,82.08038,97.22512,95.931595,Africa
451,Egypt,EGY,2022,79.45316,95.50548,94.81636,Africa
452,El Salvador,SLV,1992,74.14,84.95,84.95,North America
453,El Salvador,SLV,2006,83.56,94.4,95.45,North America
454,El Salvador,SLV,2007,82.03,93.22,93.89,North America
455,El Salvador,SLV,2008,83.95,95.41,96.48,North America
456,El Salvador,SLV,2009,84.1,94.71,95.32,North America
457,El Salvador,SLV,2010,84.49,95.67,96.39,North America
458,El Salvador,SLV,2011,85.49,96.15,96.95,North America
459,El Salvador,SLV,2012,85.462456,96.7,97.6,North America
460,El Salvador,SLV,2013,86.77,96.95,97.5,North America
461,El Salvador,SLV,2014,87.41254,97.3,98.2,North America
462,El Salvador,SLV,2015,87.97,97.46,98.43,North America
463,El Salvador,SLV,2016,88.14,97.72,98.28,North America
464,El Salvador,SLV,2017,88.48,97.8,98.15,North America
465,El Salvador,SLV,2018,89.01,97.73,98.21,North America
466,El Salvador,SLV,2019,89.14,97.98,98.69,North America
467,El Salvador,SLV,2020,89.98,98.31,98.72,North America
468,El Salvador,SLV,2021,89.05865,97.8,98.3,North America
469,El Salvador,SLV,2022,89.353714,98.0,98.6,North America
470,El Salvador,SLV,2023,89.85,97.56,98.5,North America
472,Equatorial Guinea,GNQ,2000,88.31,97.61,96.62,Africa
473,Eritrea,ERI,2002,52.51,86.25,69.48,Africa
474,Eritrea,ERI,2008,64.66,91.29,82.58,Africa
476,Estonia,EST,2000,99.77,99.73,99.81,Europe
477,Estonia,EST,2011,99.89,99.94,99.96,Europe
480,Eswatini,SWZ,2000,81.66,90.69,92.94,Africa
481,Eswatini,SWZ,2022,90.75,98.55,98.78,Africa
482,Ethiopia,ETH,1994,27.01,39.29,28.08,Africa
483,Ethiopia,ETH,2004,35.9,62.2,38.5,Africa
484,Ethiopia,ETH,2007,39.0,62.97,47.04,Africa
485,Ethiopia,ETH,2013,48.354973,78.101234,65.74705,Africa
486,Ethiopia,ETH,2016,47.49,79.13,64.57,Africa
487,Ethiopia,ETH,2019,55.05,82.37,76.03,Africa
488,Ethiopia,ETH,2021,54.88537,84.55214,74.98445,Africa
489,Ethiopia,ETH,2022,60.46,88.42,80.92,Africa
490,Europe and Central Asia (WB),WB_ECA,1994,95.8,99.15,98.64,unknown
491,Europe and Central Asia (WB),WB_ECA,1995,95.95,99.15,98.69,unknown
492,Europe and Central Asia (WB),WB_ECA,1996,96.13,99.16,98.75,unknown
493,Europe and Central Asia (WB),WB_ECA,1997,96.26,99.17,98.79,unknown
494,Europe and Central Asia (WB),WB_ECA,1998,96.42,99.14,98.82,unknown
495,Europe and Central Asia (WB),WB_ECA,1999,96.54,99.12,98.84,unknown
496,Europe and Central Asia (WB),WB_ECA,2000,96.64,99.27,98.83,unknown
497,Europe and Central Asia (WB),WB_ECA,2002,96.9,99.35,98.91,unknown
498,Europe and Central Asia (WB),WB_ECA,2003,96.99,99.35,98.93,unknown
499,Europe and Central Asia (WB),WB_ECA,2004,97.07,99.33,98.94,unknown
500,Europe and Central Asia (WB),WB_ECA,2005,97.19,99.37,99.01,unknown
501,Europe and Central Asia (WB),WB_ECA,2006,97.25,99.38,99.03,unknown
502,Europe and Central Asia (WB),WB_ECA,2007,97.33,99.4,99.05,unknown
503,Europe and Central Asia (WB),WB_ECA,2008,97.45,99.42,99.09,unknown
504,Europe and Central Asia (WB),WB_ECA,2009,97.71,99.53,99.31,unknown
505,Europe and Central Asia (WB),WB_ECA,2010,97.87,99.56,99.39,unknown
506,Europe and Central Asia (WB),WB_ECA,2011,98.02,99.6,99.46,unknown
507,Europe and Central Asia (WB),WB_ECA,2012,98.12,99.62,99.51,unknown
508,Europe and Central Asia (WB),WB_ECA,2013,98.18,99.64,99.55,unknown
509,Europe and Central Asia (WB),WB_ECA,2014,98.22,99.66,99.58,unknown
510,Europe and Central Asia (WB),WB_ECA,2015,98.27,99.66,99.61,unknown
511,Europe and Central Asia (WB),WB_ECA,2016,98.33,99.68,99.63,unknown
512,Europe and Central Asia (WB),WB_ECA,2017,98.41,99.69,99.68,unknown
513,Europe and Central Asia (WB),WB_ECA,2018,98.5,99.74,99.72,unknown
514,Europe and Central Asia (WB),WB_ECA,2019,98.57,99.75,99.74,unknown
515,Europe and Central Asia (WB),WB_ECA,2020,98.61,99.74,99.75,unknown
516,Europe and Central Asia (WB),WB_ECA,2021,98.74,99.77,99.76,unknown
517,Europe and Central Asia (WB),WB_ECA,2022,98.75,99.77,99.76,unknown
518,Europe and Central Asia (WB),WB_ECA,2023,98.77,99.77,99.76,unknown
528,Gabon,GAB,1993,72.23,94.41,92.11,Africa
529,Gabon,GAB,2021,88.86,94.96,93.04,Africa
530,Gambia,GMB,2000,36.82,64.34,41.39,Africa
531,Gambia,GMB,2015,50.78,70.74,64.45,Africa
532,Gambia,GMB,2018,53.16,74.98,67.01,Africa
533,Gambia,GMB,2021,51.64,72.02,62.55,Africa
534,Georgia,GEO,2002,99.65,99.79,99.86,Asia
535,Georgia,GEO,2014,99.59,99.68,99.73,Asia
536,Georgia,GEO,2017,99.36,99.77,99.49,Asia
537,Georgia,GEO,2018,99.65,99.9,99.94,Asia
538,Georgia,GEO,2019,99.87572,100.0,100.0,Asia
539,Georgia,GEO,2020,99.89307,100.0,100.0,Asia
540,Georgia,GEO,2021,99.91808,100.0,100.0,Asia
541,Georgia,GEO,2022,99.57,99.51,99.89,Asia
542,Georgia,GEO,2023,99.56,98.88,99.84,Asia
544,Ghana,GHA,2000,57.9,75.95,65.49,Africa
545,Ghana,GHA,2010,71.5,88.31,83.23,Africa
546,Ghana,GHA,2015,60.198105,85.08682,76.89812,Africa
547,Ghana,GHA,2017,64.49,89.77,85.25,Africa
548,Ghana,GHA,2021,76.49,91.74,91.3,Africa
550,Greece,GRC,1991,92.61,98.99,98.98,Europe
551,Greece,GRC,2001,95.99,98.89,98.99,Europe
552,Greece,GRC,2009,93.91,99.51,99.47,Europe
556,Guam,GUM,1990,99.37,99.9,99.85,Oceania
557,Guatemala,GTM,1994,64.21,81.72,70.72,North America
558,Guatemala,GTM,2002,69.1,86.38,78.39,North America
559,Guatemala,GTM,2012,78.26,95.47,91.94,North America
560,Guatemala,GTM,2013,77.04,94.18,89.77,North America
561,Guatemala,GTM,2014,81.29,95.48,93.27,North America
562,Guatemala,GTM,2015,80.2,96.67,93.62,North America
563,Guatemala,GTM,2018,80.81,95.38,93.87,North America
564,Guatemala,GTM,2022,83.03,95.86,94.21,North America
565,Guatemala,GTM,2023,83.01958,97.3,96.7,North America
567,Guinea,GIN,1996,20.55,44.12,13.47,Africa
568,Guinea,GIN,2003,29.7,59.46,34.07,Africa
569,Guinea,GIN,2010,25.31,37.57,21.8,Africa
570,Guinea,GIN,2014,32.0,56.97,37.21,Africa
571,Guinea,GIN,2018,39.62,69.64,43.47,Africa
573,Guinea-Bissau,GNB,2000,41.36,74.8,45.9,Africa
574,Guinea-Bissau,GNB,2019,54.88,81.83,68.59,Africa
575,Guinea-Bissau,GNB,2022,63.93,86.2,78.27,Africa
576,Guyana,GUY,2020,85.64,99.27,99.03,South America
578,Haiti,HTI,2003,58.74,82.66,80.69,North America
579,Haiti,HTI,2012,73.95334,93.36575,92.985825,North America
580,Haiti,HTI,2017,68.01,88.38,89.33,North America
581,High-income countries,OWID_HIC,2020,97.71,99.24,99.25,unknown
582,Honduras,HND,2001,80.01,86.89,90.91,North America
583,Honduras,HND,2007,83.59,92.7,95.05,North America
584,Honduras,HND,2010,84.76,94.45,95.88,North America
585,Honduras,HND,2011,85.12,94.93,96.93,North America
586,Honduras,HND,2012,85.36,94.0,95.99,North America
587,Honduras,HND,2013,85.46,93.85,96.3,North America
588,Honduras,HND,2014,87.2,95.05,96.29,North America
589,Honduras,HND,2015,87.91,94.99,97.0,North America
590,Honduras,HND,2016,88.99,94.95,97.25,North America
591,Honduras,HND,2018,87.21,94.89,98.19,North America
592,Honduras,HND,2019,88.51,94.84,97.29,North America
593,Honduras,HND,2022,88.21928,94.71452,97.47949,North America
594,Honduras,HND,2023,87.09,94.64,96.47,North America
598,India,IND,1991,48.22,73.51,49.35,Asia
599,India,IND,2001,61.01,84.19,67.75,Asia
600,India,IND,2006,62.75,88.41,74.36,Asia
601,India,IND,2010,68.32582,92.28997,83.02605,Asia
602,India,IND,2011,69.3,90.04,81.85,Asia
603,India,IND,2012,69.82793,93.432365,86.09988,Asia
604,India,IND,2018,73.688354,96.307625,92.71818,Asia
605,India,IND,2019,74.89386,96.24289,93.173134,Asia
606,India,IND,2020,75.52706,96.53685,94.687584,Asia
