,entity,code,year,illiteracy_rate,literacy_rate
432,East Asia and Pacific (WB),WB_EAP,2009,5.9100037,94.09
433,East Asia and Pacific (WB),WB_EAP,2010,5.919998,94.08
434,East Asia and Pacific (WB),WB_EAP,2011,5.699997,94.3
435,East Asia and Pacific (WB),WB_EAP,2012,5.459999,94.54
436,East Asia and Pacific (WB),WB_EAP,2013,5.3799973,94.62
437,East Asia and Pacific (WB),WB_EAP,2014,4.9100037,95.09
438,East Asia and Pacific (WB),WB_EAP,2015,4.699997,95.3
439,East Asia and Pacific (WB),WB_EAP,2016,4.5,95.5
440,East Asia and Pacific (WB),WB_EAP,2017,4.3099976,95.69
441,East Asia and Pacific (WB),WB_EAP,2018,4.2699966,95.73
442,East Asia and Pacific (WB),WB_EAP,2019,4.1299973,95.87
443,East Asia and Pacific (WB),WB_EAP,2020,3.9100037,96.09
444,East Asia and Pacific (WB),WB_EAP,2021,3.7799988,96.22
445,East Asia and Pacific (WB),WB_EAP,2022,3.6399994,96.36
446,East Asia and Pacific (WB),WB_EAP,2023,3.5100021,96.49
447,East Asia and Pacific (WB),WB_EAP,2024,3.3899994,96.61
449,East Timor,TLS,2001,62.4,37.6
450,East Timor,TLS,2007,49.4,50.6
451,East Timor,TLS,2010,41.69,58.31
452,East Timor,TLS,2015,35.550003,64.45
453,East Timor,TLS,2016,34.22,65.78
454,East Timor,TLS,2022,30.599998,69.4
506,Ecuador,ECU,1990,11.699997,88.3
507,Ecuador,ECU,2001,9.019997,90.98
508,Ecuador,ECU,2007,7.9000015,92.1
509,Ecuador,ECU,2008,7.6100006,92.39
510,Ecuador,ECU,2009,7.75,92.25
511,Ecuador,ECU,2010,8.150002,91.85
512,Ecuador,ECU,2011,8.410004,91.59
513,Ecuador,ECU,2012,7.9400024,92.06
514,Ecuador,ECU,2013,6.709999,93.29
515,Ecuador,ECU,2014,5.779999,94.22
516,Ecuador,ECU,2015,5.540001,94.46
517,Ecuador,ECU,2016,5.6500015,94.35
518,Ecuador,ECU,2017,7.169998,92.83
519,Ecuador,ECU,2020,6.3700027,93.63
520,Ecuador,ECU,2021,5.5199966,94.48
521,Ecuador,ECU,2022,3.7399979,96.26
522,Ecuador,ECU,2024,6.510002,93.49
530,Egypt,EGY,1996,44.41,55.59
531,Egypt,EGY,2005,32.67,67.33
532,Egypt,EGY,2006,33.629997,66.37
533,Egypt,EGY,2010,27.949997,72.05
534,Egypt,EGY,2012,26.129997,73.87
535,Egypt,EGY,2013,27.559998,72.44
536,Egypt,EGY,2017,28.830002,71.17
537,Egypt,EGY,2021,17.919617,82.08038
538,Egypt,EGY,2022,20.546837,79.45316
540,El Salvador,SLV,1992,25.86,74.14
541,El Salvador,SLV,2006,16.440002,83.56
542,El Salvador,SLV,2007,17.970001,82.03
543,El Salvador,SLV,2008,16.050003,83.95
544,El Salvador,SLV,2009,15.900002,84.1
545,El Salvador,SLV,2010,15.510002,84.49
546,El Salvador,SLV,2011,14.510002,85.49
547,El Salvador,SLV,2012,14.537544,85.462456
548,El Salvador,SLV,2013,13.230003,86.77
549,El Salvador,SLV,2014,12.587463,87.41254
550,El Salvador,SLV,2015,12.029999,87.97
551,El Salvador,SLV,2016,11.860001,88.14
552,El Salvador,SLV,2017,11.519997,88.48
553,El Salvador,SLV,2018,10.989998,89.01
554,El Salvador,SLV,2019,10.860001,89.14
555,El Salvador,SLV,2020,10.019997,89.98
556,El Salvador,SLV,2021,10.941353,89.05865
557,El Salvador,SLV,2022,10.646286,89.353714
558,El Salvador,SLV,2023,10.150002,89.85
559,El Salvador,SLV,2024,10.230003,89.77
561,Equatorial Guinea,GNQ,2000,11.690002,88.31
563,Eritrea,ERI,2002,47.49,52.51
564,Eritrea,ERI,2008,35.339996,64.66
566,Estonia,EST,2000,0.23000336,99.77
567,Estonia,EST,2011,0.11000061,99.89
571,Eswatini,SWZ,2000,18.339996,81.66
572,Eswatini,SWZ,2022,9.25,90.75
574,Ethiopia,ETH,1994,72.99,27.01
575,Ethiopia,ETH,2004,64.1,35.9
576,Ethiopia,ETH,2007,61.0,39.0
577,Ethiopia,ETH,2013,51.645027,48.354973
578,Ethiopia,ETH,2016,52.51,47.49
579,Ethiopia,ETH,2019,44.95,55.05
580,Ethiopia,ETH,2021,45.11463,54.88537
581,Ethiopia,ETH,2022,39.54,60.46
582,Europe and Central Asia (WB),WB_ECA,1994,4.199997,95.8
583,Europe and Central Asia (WB),WB_ECA,1995,4.050003,95.95
584,Europe and Central Asia (WB),WB_ECA,1996,3.8700027,96.13
585,Europe and Central Asia (WB),WB_ECA,1997,3.7399979,96.26
586,Europe and Central Asia (WB),WB_ECA,1998,3.5800018,96.42
587,Europe and Central Asia (WB),WB_ECA,1999,3.459999,96.54
588,Europe and Central Asia (WB),WB_ECA,2000,3.3600006,96.64
589,Europe and Central Asia (WB),WB_ECA,2002,3.0999985,96.9
590,Europe and Central Asia (WB),WB_ECA,2003,3.0100021,96.99
591,Europe and Central Asia (WB),WB_ECA,2004,2.9300003,97.07
592,Europe and Central Asia (WB),WB_ECA,2005,2.8099976,97.19
593,Europe and Central Asia (WB),WB_ECA,2006,2.75,97.25
594,Europe and Central Asia (WB),WB_ECA,2007,2.6699982,97.33
595,Europe and Central Asia (WB),WB_ECA,2008,2.550003,97.45
596,Europe and Central Asia (WB),WB_ECA,2009,2.290001,97.71
597,Europe and Central Asia (WB),WB_ECA,2010,2.1299973,97.87
598,Europe and Central Asia (WB),WB_ECA,2011,1.9800034,98.02
599,Europe and Central Asia (WB),WB_ECA,2012,1.8799973,98.12
